scorer_id,player_id,season_id,league_id,goals,assists,penalties
1,3220,2,2,24,5,2
2,82002,2,2,16,3,2
3,9434,2,2,15,4,3
4,3371,2,2,15,7,4
5,3851,2,2,14,5,4
6,2271,2,2,13,5,0
7,8685,2,2,13,8,0
8,1754,2,2,13,3,10
9,2046,2,2,13,8,7
10,3662,2,2,13,3,0
11,45680,2,2,12,2,1
12,145,2,2,12,6,0
13,99731,2,2,12,6,2
14,2681,2,2,12,6,0
15,7693,2,2,12,5,2
16,2016,2,2,11,1,2
17,9554,2,2,11,7,0
18,113285,2,2,11,5,0
19,171121,2,2,11,3,5
20,129947,2,2,10,8,1
21,38101,1,1,27,6,7
22,144892,1,1,22,12,9
23,6486,1,1,21,2,5
24,7878,1,1,19,3,2
25,7888,1,1,19,8,0
26,4444,1,1,19,13,0
27,3754,1,1,18,11,5
28,170281,1,1,17,10,2
29,99813,1,1,16,9,6
30,11414,1,1,16,6,0
31,641,1,1,16,5,2
32,8057,1,1,14,1,0
33,152515,1,1,14,5,0
34,171,1,1,13,8,1
35,612,1,1,12,3,0
36,3354,1,1,12,3,1
37,30842,1,1,12,7,1
38,5483,1,1,11,4,5
39,98571,1,1,11,8,2
40,7848,1,1,11,9,1
41,24217,3,3,24,8,7
42,8167,3,3,23,6,0
43,125010,3,3,19,6,1
44,371,3,3,19,8,4
45,2237,3,3,17,2,3
46,32836,3,3,16,2,1
47,114,3,3,16,6,4
48,7819,3,3,15,2,0
49,1556,3,3,15,6,1
50,69,3,3,15,1,4
51,81565,3,3,14,5,0
52,32762,3,3,13,2,0
53,213269,3,3,13,3,0
54,32629,3,3,12,4,0
55,83795,3,3,11,1,4
56,1324,3,3,10,5,0
57,8,3,3,10,4,0
58,32719,3,3,10,7,2
59,7938,3,3,10,2,0
60,7936,3,3,9,2,0
61,8004,4,4,36,8,5
62,211,4,4,28,4,4
63,73215,4,4,24,8,2
64,6928,4,4,18,10,0
65,133903,4,4,16,3,0
66,318,4,4,15,6,5
67,33242,4,4,15,10,3
68,130811,4,4,14,9,4
69,124244,4,4,14,2,0
70,7457,4,4,13,3,0
71,66896,4,4,12,8,2
72,9499,4,4,12,4,2
73,226,4,4,12,9,5
74,304,4,4,12,8,3
75,19334,4,4,11,11,1
76,16335,4,4,11,7,0
77,150733,4,4,10,4,0
78,16739,4,4,10,14,0
79,144393,4,4,10,6,0
80,400,4,4,10,3,0
81,3374,5,5,27,7,6
82,7797,5,5,19,2,2
83,8924,5,5,19,6,2
84,7801,5,5,17,7,4
86,73,5,5,16,2,1
87,9848,5,5,14,2,1
89,136646,5,5,13,4,3
90,113427,5,5,11,3,3
91,101431,5,5,11,0,1
92,130668,5,5,10,2,2
93,15100,5,5,9,6,0
94,8818,5,5,9,5,7
95,156808,5,5,9,1,1
96,852,5,5,9,6,7
97,856,5,5,8,8,3
98,185000,5,5,8,4,4
99,114672,5,5,8,2,3
100,82132,5,5,8,0,0
102,9848,5,5,14,2,1
103,73,5,5,16,2,1